resolution_min,storm_id,event_start,event_end,duration_min,precip_mm,energy_mj_ha,i30_mm_h,i60_mm_h,ei30
1,1,2025-09-01T03:00:00Z,2025-09-01T03:59:00Z,60,6,0.811902933129944,6,6,4.87141759877966
1,2,2025-09-01T15:00:00Z,2025-09-01T15:59:00Z,60,36,9.33565228057699,42,36,392.097395784234
5,1,2025-09-01T03:00:00Z,2025-09-01T03:55:00Z,60,6,0.811902933129944,6,6,4.87141759877966
5,2,2025-09-01T15:00:00Z,2025-09-01T15:55:00Z,60,36,9.33565228057699,42,36,392.097395784234
10,1,2025-09-01T03:00:00Z,2025-09-01T03:50:00Z,60,6,0.811902933129944,6,6,4.87141759877966
10,2,2025-09-01T15:00:00Z,2025-09-01T15:50:00Z,60,36,9.28959529272332,40,36,371.583811708933
15,1,2025-09-01T03:00:00Z,2025-09-01T03:45:00Z,60,6,0.811902933129944,6,6,4.87141759877966
15,2,2025-09-01T15:00:00Z,2025-09-01T15:45:00Z,60,36,9.33565228057699,42,36,392.097395784234
30,1,2025-09-01T03:00:00Z,2025-09-01T03:30:00Z,60,6,0.811902933129944,6,6,4.87141759877966
30,2,2025-09-01T15:00:00Z,2025-09-01T15:30:00Z,60,36,9.19748131701598,36,36,331.109327412575
